fuente_id,fuente_nombre,origen_fuente,raw_files,n_variables_catalogadas,n_variables_iciv_anual,n_variables_pulse_mensual,roles,variables,politica
CPI,Transparency International CPI,international,cpi.csv,1,1,0,core_anual,cpi_score,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
EIA,U.S. Energy Information Administration International,international,eia.csv; eia_monthly.csv,4,1,1,auxiliar;core_anual;pulse_mensual,electricidad_generacion_bkwh;gas_natural_produccion_bcf;petroleo_crudo_produccion_tbpd;petroleo_liquidos_totales_tbpd,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
FRED,Federal Reserve Bank of St. Louis FRED,international,fred.csv; fred_monthly.csv; imts_monthly.csv (EIA oil trade via FRED; legacy filename),9,2,9,core_anual;pulse_mensual,brent_precio_usd;em_bond_spread_pct;importaciones_eeuu_crudo_ven_tbpd;importaciones_eeuu_productos_ven_tbpd;tasa_fed_funds_pct;usd_index_broad;ust_10y_yield_pct;vix_volatility;wti_precio_usd,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
FREEDOM_HOUSE,Freedom House,international,freedom_house.csv,1,1,0,core_anual,freedom_house_score,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
GDELT,GDELT DOC 2.0 API,international,gdelt_monthly.csv; gdelt_monthly.status.json,2,0,2,pulse_mensual,gdelt_cobertura_vol;gdelt_tono_noticias,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
GUARDIAN,The Guardian Open Platform,international,guardian.csv; guardian_monthly.csv,2,2,2,core_anual,guardian_articulos_venezuela;guardian_tono_titulares,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
HDI,UNDP Human Development Report,international,hdi.csv,1,1,0,core_anual,hdi,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
IMF,International Monetary Fund,international,imf.csv,2,1,0,auxiliar;core_anual,desempleo_pct;inflacion_ipc_imf_pct,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
PTS,Political Terror Scale,international,pts.csv,1,1,0,core_anual,pts_terror_politico,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
UNCTAD,UNCTAD,international,unctad.csv,1,1,0,core_anual,lsci_conectividad_maritima,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
UNHCR,UNHCR/R4V,international,unhcr.csv,1,1,0,core_anual,migrantes_vzla_millones,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
VIIRS,NASA Black Marble VNP46A3 (score); Li et al./Figshare (validacion externa),international,blackmarble_qa_monthly.csv (score); blackmarble_monthly.csv (legacy context); viirs.csv (contrast),1,1,0,core_anual,luminosidad_nocturna_idx,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
WDI,World Bank World Development Indicators,international,wdi.csv; ilostat.csv (OIT modeled estimates); wb_commodities_monthly.csv (Pink Sheet),10,6,1,auxiliar;core_anual;outcome_externo;pulse_mensual,acceso_electricidad_pct;crudo_dubai_usd;empleo_vulnerable_oit_pct;esperanza_vida_anos;exportaciones_pct_pib;ied_neta_usd;mortalidad_infantil_x1000;pib_crecimiento_real_pct;reservas_internacionales_usd;tipo_cambio_oficial_lcu_usd,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
WGI,World Bank Worldwide Governance Indicators,international,wgi.csv,1,1,0,core_anual,wgi_promedio_sc,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
WJP,World Justice Project,international,wjp.csv,1,1,0,core_anual,wjp_rule_of_law,Distribuidores internacionales; productor primario puede ser nacional. Sin imputación ni sustitución de fuente.
